Ano,Nome,direcao,genero,produtora,imagem
2017,Do Outro Lado do Atlântico,Daniele Ellery/Márcio Câmara,Documentário,Deberton Entretenimento/Euphemia Produções,http://br.web.img3.acsta.net/pictures/16/11/24/21/53/122196.png
2017,Doidas e Santas,Paulo Thiago,Ficção,Melodrama Produções,http://br.web.img3.acsta.net/c_215_290/pictures/17/07/25/15/46/377400.jpg
2017,"Dolores - Uma Mulher, Dois Amores",Juan Dickinson,Ficção,Valkyria Filmes,https://ingresso-a.akamaihd.net/img/cinema/cartaz/17531-cartaz.jpg
2017,Dona Flor e Seus Dois Maridos,Pedro Vasconcelos,Ficção,Reginaldo Farias Produções,http://br.web.img3.acsta.net/pictures/17/09/19/18/08/0399058.jpg
2017,Duas de Mim,Cininha de Paula,Ficção,Migdal Filmes,https://cdn.telecineplay.com.br/isl/api/v1/dataservice/ResizeImage/$value?Format=%27jpg%27&Quality=85&ImageId=%27157292%27&EntityType=%27Item%27&EntityId=%277631%27&Width=720&Height=1080&device=web_browser&subscriptions=Anonymous
2017,Éden,Bruno Safadi,Ficção,TB Produções,http://br.web.img3.acsta.net/pictures/210/294/21029440_2013082016322369.jpg
2017,El mate,Bruno Kott,Ficção,Filmes de Vagabundo,http://br.web.img2.acsta.net/pictures/16/08/31/16/43/314995.jpg
2017,Elon não acredita na morte,Ricardo Alves Junior,Ficção,Entre Filmes,http://br.web.img2.acsta.net/pictures/17/03/30/20/20/215095.jpg
2017,Encantados,Tizuka Yamasaki,Ficção,Scena Filmes,https://cinema10.com.br/upload/filmes/filmes_3096_posterencatados.jpg
2017,Entre irmãs,Breno Silveira,Ficção,Conspiração Filmes,https://d1xi64h779br3j.cloudfront.net/400x/smart/filters:format(jpeg):quality(10)/custom/uploads/2017/08/lay-entre-irmas-final_media.jpg
2017,Era o Hotel Cambridge,Eliane Caffé,Ficção,Aurora Filmes,http://www.vitrinefilmes.com.br/site/wp-content/uploads/2017/02/eohc_cartaz_final_rev05_port-704x1024.jpg
2017,Estamos vivos,Filipe Codeço,Ficção,Cavideo Produções,http://br.web.img2.acsta.net/pictures/17/05/23/02/45/050015.jpg
2017,Esteros,Papu Curotto,Ficção,Latina Estudio,https://cdn.telecineplay.com.br/isl/api/v1/dataservice/ResizeImage/$value?Format=%27jpg%27&Quality=85&ImageId=%27155671%27&EntityType=%27Item%27&EntityId=%277402%27&Width=720&Height=1080&device=web_browser&subscriptions=Anonymous
2017,Estopô Balaio,Cristiano Burlan,Documentário,Bela Filmes,https://a.ltrbxd.com/resized/film-poster/3/5/2/4/9/5/352495-estopo-balaio-0-230-0-345-crop.jpg?k=68106285c8
2017,Eu fico loko,Bruno Garotti,Ficção,Ananã Produções,http://br.web.img2.acsta.net/pictures/16/12/01/11/34/454817.jpg
2017,Eu Te Levo,Marcelo Müller,Ficção,Academia de Filmes,https://www.cafecomfilme.com.br/media/k2/items/cache/8204cb26d40cc95c13e2817872831930_XL.jpg?t=1490444703
2017,Exodus - De onde vim não existe mais,Hank Levine,Documentário,O2 Filmes,https://media.fstatic.com/fiHem4-hv0cNY7jS3vc4-5xn33U=/fit-in/290x478/smart/media/movies/covers/2017/06/Exodus__De_onde_eu_vim_não_existe_mais_2016.jpg
2017,Fala comigo,Felipe Sholl,Ficção,Syndrome Films,https://cinegarimpo.com.br/wp/content/uploads/2017/07/cinegarimpo_fala-comigo.jpg
2017,"Fala sério, mãe!",Pedro Vasconcelos,Ficção,Camisa Listrada/Focus Films,http://br.web.img3.acsta.net/pictures/17/11/07/12/47/1819757.jpg
2017,Filhos de Bach,Ansgar Ahlers,Ficção,Conspiração Filmes,http://br.web.img3.acsta.net/c_215_290/pictures/15/10/09/13/12/505503.jpg
2017,Fonte da Juventude,Estevão Ciavatta,Documentário,Pindorama Filmes,http://br.web.img3.acsta.net/c_215_290/pictures/17/07/04/04/00/434196.jpg
2017,Gabeira,Moacyr Góes,Documentário,Bufões Produções Artísticas,https://d1xi64h779br3j.cloudfront.net/400x/smart/filters:format(jpeg):quality(10)/custom/uploads/2017/10/cartaz-em-baixa.jpg
2017,Gabriel e a montanha,Felipe Gamarano Barbosa,Ficção,Gamarosa,http://www.itaucinemas.com.br/_img/_filmes/2769_capa.jpg?Gabriel-e-a-Montanha
2017,Galeria F,Emilia Silveira,Documentário,70 Filmes,https://d1xi64h779br3j.cloudfront.net/400x/smart/filters:format(jpeg):quality(10)/custom/uploads/2016/04/Cartaz_Portugues_Versao-final1.jpg
2017,Gosto se discute,André Pellenz,Ficção,Damasco Filmes,https://www.pontofrio-imagens.com.br/dvdsebluray/FilmeseSeriados/BluRaydeComedia/12837101/911688717/dvd-gosto-se-discute-12837101.jpg
2017,"Gostosas, Lindas e Sexies",Ernani Nunes,Ficção,Santa Rita Filmes,http://br.web.img3.acsta.net/pictures/17/03/09/19/13/426334.jpg
2017,Guerra do Paraguay,Luiz Rosemberg Filho,Ficção,Cavideo Produções,https://www.papodecinema.com.br/wp-content/uploads/2016/05/20161021-guerra-do-paraguay-papo-de-cinema-cartaz.jpg
2017,História antes de uma história,Wilson Lazaretti,Animação,Núcleo do Cinema de Animação de Campinas,http://www.cineplayers.com/img/cartazes/30553_poster.jpg
2017,Historietas Assombradas – O Filme,Victor-Hugo Borges,Animação,Glaz Entretenimento,http://br.web.img3.acsta.net/r_1280_720/pictures/17/10/17/17/17/1762854.jpg
2017,Internet - O Filme,Filippo Capuzzi Lapietra,Ficção,Paris Entretenimento,http://br.web.img2.acsta.net/r_1280_720/pictures/16/12/13/15/31/567476.jpg
2017,Intolerância.doc,Susanna Lira,Documentário,Modo Operante Produções,https://ingresso-a.akamaihd.net/img/cinema/cartaz/17445-cartaz.jpg
2017,Introdução à Música do Sangue,Luiz Carlos Lacerda,Ficção,Matinê Filmes,https://img.estadao.com.br/fotos/crop/220x328/divirtase/images/eventos_20170627150917_89c095ef499397ccb5a666285c866cc3.jpg
2017,Invisível,Pablo Giorgelli,Ficção,Punta Colorada de Cinema/Sancho Filmes,https://media.fstatic.com/XlFSw-0BfqtR9pyopDlY5N-spG8=/fit-in/290x478/smart/media/movies/covers/2017/09/invisible_980x1400.jpg
2017,Jesus - A esperança,Semi Salomão,Ficção,Grupo Teatral Mãe do Céu,http://br.web.img3.acsta.net/c_215_290/pictures/17/12/04/20/05/4844998.jpg
2017,"João, o maestro",Mauro Lima,Ficção,Filmes do Equador,https://s.glbimg.com/jo/g1/f/original/blog/65d03c9c-e8c3-42f7-ac30-eaa8c9739809_joaoomaestroposter.jpg
2017,Joaquim,Marcelo Gomes,Ficção,Rec Produtores Associados,https://imagens.publicocdn.com/imagens.aspx/700194?tp=KM&w=220
2017,Jonas e o circo sem lona,Paula Gomes,Documentário,Plano 3 Filmes,http://br.web.img3.acsta.net/pictures/17/02/24/13/13/108147.jpg
